14266394,12/21/2013,03:23:00,Aggravated Assault,Unknown/Not Available
14246683,11/16/2013,19:38:00,Trespass,Unknown/Not Available
14169384,07/18/2013,03:23:00,Robbery,Unknown/Not Available
14160433,07/04/2013,03:20:00,Runaway,Unknown/Not Available
14095304,01/30/2013,13:00:00,Sex Offenses,Unknown/Not Available
14097555,03/13/2013,13:36:00,Disorderly Conduct,Unknown/Not Available
14070562,02/02/2013,21:11:00,Disorderly Conduct,Unknown/Not Available
14158075,06/30/2013,15:40:00,Disorderly Conduct,Unknown/Not Available
14250751,11/22/2013,17:52:00,"Assault, Simple",Unknown/Not Available
14082311,02/22/2013,12:02:00,Runaway,Unknown/Not Available
14089112,03/06/2013,14:24:00,Runaway,Unknown/Not Available
14085700,02/28/2013,09:39:00,Runaway,Unknown/Not Available
14148206,06/13/2013,11:05:00,Disorderly Conduct,Unknown/Not Available
14132652,05/18/2013,12:21:00,Trespass,Unknown/Not Available
14123852,05/04/2013,06:30:00,Trespass,Unknown/Not Available
14120280,04/24/2013,20:43:00,Disorderly Conduct,Unknown/Not Available
14127535,05/08/2013,22:16:00,"Assault, Simple",Unknown/Not Available
14112379,04/14/2013,23:02:00,"Assault, Simple",Unknown/Not Available
14086301,02/21/2013,01:55:00,Sex Offenses,Unknown/Not Available
14115028,04/19/2013,15:07:00,Runaway,Unknown/Not Available
14129646,05/13/2013,16:09:00,Burglary,Unknown/Not Available
14186290,08/13/2013,21:43:00,Runaway,Unknown/Not Available
14254634,12/02/2013,10:10:00,Runaway,Unknown/Not Available
14269059,12/27/2013,14:00:00,Runaway,Unknown/Not Available
14121298,04/10/2013,21:40:00,Arson,Unknown/Not Available
14140166,05/19/2013,00:45:00,Arson,Unknown/Not Available
14237131,11/01/2013,21:53:00,Runaway,Unknown/Not Available
14232819,10/25/2013,20:42:00,Runaway,Unknown/Not Available
14242043,11/09/2013,23:55:00,Runaway,Unknown/Not Available
14167203,07/14/2013,18:30:00,"Assault, Simple",Unknown/Not Available
14157866,06/28/2013,20:27:00,"Assault, Simple",Unknown/Not Available
14228658,10/19/2013,10:32:00,Disorderly Conduct,Unknown/Not Available
14143072,06/05/2013,17:52:00,Larceny,Unknown/Not Available
14145869,06/03/2013,06:00:00,Trespass,Unknown/Not Available
14232312,10/24/2013,22:18:00,"Assault, Simple",Unknown/Not Available
14173101,07/25/2013,06:11:00,"Assault, Simple",Unknown/Not Available
14199296,09/03/2013,23:26:00,"Assault, Simple",Unknown/Not Available
14255103,11/25/2013,12:46:00,"Assault, Simple",Unknown/Not Available
14232288,10/24/2013,05:03:00,"Assault, Simple",Unknown/Not Available
14083228,02/23/2013,19:33:00,Disorderly Conduct,Unknown/Not Available
14194738,08/21/2013,12:09:00,Rape,Unknown/Not Available
14236304,10/30/2013,20:20:00,Aggravated Assault,Unknown/Not Available
14079807,02/18/2013,04:28:00,Runaway,Unknown/Not Available
14079266,02/16/2013,19:48:00,Runaway,Unknown/Not Available
14184180,08/01/2013,18:10:00,Larceny,Unknown/Not Available
14136817,05/27/2013,00:50:00,Runaway,Unknown/Not Available
14172369,07/24/2013,01:01:00,"Assault, Simple",Unknown/Not Available
14107900,04/07/2013,20:41:00,"Assault, Simple",Unknown/Not Available
14067094,01/27/2013,20:14:00,Runaway,Unknown/Not Available
14179404,07/23/2013,15:09:00,Sex Offenses,Unknown/Not Available
14055241,01/10/2013,06:27:00,"Assault, Simple",Unknown/Not Available
14054244,01/09/2013,08:00:00,Runaway,Unknown/Not Available
14067340,01/28/2013,03:11:00,"Assault, Simple",Unknown/Not Available
14204126,09/11/2013,04:41:00,"Assault, Simple",Unknown/Not Available
14204125,09/11/2013,04:41:00,"Assault, Simple",Unknown/Not Available
14061013,01/17/2013,14:45:00,Trespass,Unknown/Not Available
